Team Name;Player Name;Price
ARCORE FC;Akanji;7
ARCORE FC;Bisseck;5
ARCORE FC;Bonny;46
ARCORE FC;Cambiaso;71
ARCORE FC;Cuadrado;2
ARCORE FC;Cuenca H.;0
ARCORE FC;Dallinga;16
ARCORE FC;De Gea;59
ARCORE FC;De Winter;6
ARCORE FC;Di Lorenzo;55
ARCORE FC;Esposito Se.;47
ARCORE FC;Falcone;1
ARCORE FC;Gilmour;1
ARCORE FC;Konè M.;45
ARCORE FC;Lobotka;15
ARCORE FC;McTominay;115
ARCORE FC;Miranda J.;20
ARCORE FC;N'Dicka;15
ARCORE FC;Orsolini;110
ARCORE FC;Piccoli;23
ARCORE FC;Sanabria;1
ARCORE FC;Sportiello;0
ARCORE FC;Sucic P.;1
ARCORE FC;Thuram;322
ARCORE FC;Tramoni M.;9
FC San Marco Evangelista;Barella;64
FC San Marco Evangelista;Biraghi;4
FC San Marco Evangelista;Buongiorno;45
FC San Marco Evangelista;Cancellieri;1
FC San Marco Evangelista;De Ketelaere;90
FC San Marco Evangelista;Dele-Bashiru;8
FC San Marco Evangelista;Delprato;21
FC San Marco Evangelista;Dovbyk;43
FC San Marco Evangelista;Ferguson E.;157
FC San Marco Evangelista;Gila;20
FC San Marco Evangelista;Kalulu;27
FC San Marco Evangelista;Koopmeiners;1
FC San Marco Evangelista;Maignan;85
FC San Marco Evangelista;Odgaard;50
FC San Marco Evangelista;Ordonez C.;3
FC San Marco Evangelista;Oristanio;1
FC San Marco Evangelista;Palestra;1
FC San Marco Evangelista;Paz N.;100
FC San Marco Evangelista;Pellegrino M.;16
FC San Marco Evangelista;Ranieri L.;9
FC San Marco Evangelista;Saelemaekers;1
FC San Marco Evangelista;Suzuki;1
FC San Marco Evangelista;Terracciano;1
FC San Marco Evangelista;Vitik;10
FC San Marco Evangelista;Yildiz;203
FC bianchi;Baschirotto;3
FC bianchi;Comuzzo;7
FC bianchi;Contini;1
FC bianchi;Davis K.;1
FC bianchi;De Bruyne;103
FC bianchi;Dodò;35
FC bianchi;Harroui;1
FC bianchi;Isaksen;39
FC bianchi;Leao;247
FC bianchi;Lucca;128
FC bianchi;Meret;91
FC bianchi;Milinkovic-Savic V.;20
FC bianchi;Mina;11
FC bianchi;Mkhitaryan;17
FC bianchi;Openda;55
FC bianchi;Romagnoli;5
FC bianchi;Rovella;1
FC bianchi;Scalvini;3
FC bianchi;Sottil;7
FC bianchi;Thuram K.;81
FC bianchi;Vardy;1
FC bianchi;Vasquez;3
FC bianchi;Vazquez;30
FC bianchi;Vojvoda;17
FC bianchi;Zapata D.;31
Makumba FC;Adams C.;1
Makumba FC;Bartesaghi;1
Makumba FC;Bellanova;53
Makumba FC;Di Gregorio;91
Makumba FC;Dimarco;87
Makumba FC;Estupinan;1
Makumba FC;Fofana Y.;1
Makumba FC;Gabbia;1
Makumba FC;Kean;350
Makumba FC;Lang;1
Makumba FC;Loftus-Cheek;6
Makumba FC;Mandragora;1
Makumba FC;Orban G.;13
Makumba FC;Pavlovic;6
Makumba FC;Perin;1
Makumba FC;Pinamonti;30
Makumba FC;Politano;29
Makumba FC;Pulisic;125
Makumba FC;Rodriguez Je.;5
Makumba FC;Rowe;3
Makumba FC;Samardzic;1
Makumba FC;Skorupski;1
Makumba FC;Tomori;1
Makumba FC;Zappacosta;1
Makumba FC;Zielinski;1
Nhamass dstrunz;Angelino;40
Nhamass dstrunz;Berardi;109
Nhamass dstrunz;Carnesecchi;50
Nhamass dstrunz;Celik;1
Nhamass dstrunz;Da Cunha;1
Nhamass dstrunz;Dybala;37
Nhamass dstrunz;Folorunsho;7
Nhamass dstrunz;Kelly L.;1
Nhamass dstrunz;Kilicsoy;1
Nhamass dstrunz;Konè I.;1
Nhamass dstrunz;Kossounou;9
Nhamass dstrunz;Krstovic;100
Nhamass dstrunz;Leali;1
Nhamass dstrunz;Mandas;10
Nhamass dstrunz;Pasalic;1
Nhamass dstrunz;Ramon;3
Nhamass dstrunz;Rog;0
Nhamass dstrunz;Rrahmani;30
Nhamass dstrunz;Scamacca;95
Nhamass dstrunz;Sohm;1
Nhamass dstrunz;Soulè;79
Nhamass dstrunz;Tavares N.;61
Nhamass dstrunz;Tourè I.;1
Nhamass dstrunz;Valle;1
Nhamass dstrunz;Zaccagni;150
Reazione di Mallard;Atta;1
Reazione di Mallard;Baturina;16
Reazione di Mallard;Butez;11
Reazione di Mallard;Caprile;49
Reazione di Mallard;Coco;1
Reazione di Mallard;Cristante;1
Reazione di Mallard;David;295
Reazione di Mallard;Doig;5
Reazione di Mallard;Ederson D.S.;90
Reazione di Mallard;Gimenez;92
Reazione di Mallard;Giovane;1
Reazione di Mallard;Gosens;48
Reazione di Mallard;Gudmundsson A.;99
Reazione di Mallard;Hien;28
Reazione di Mallard;Lucumì;15
Reazione di Mallard;Lukaku;32
Reazione di Mallard;Nzola;26
Reazione di Mallard;Parisi;1
Reazione di Mallard;Provedel;3
Reazione di Mallard;Rabiot;34
Reazione di Mallard;Simeone;49
Reazione di Mallard;Solet;14
Reazione di Mallard;Vandeputte;3
Reazione di Mallard;Wesley;30
Reazione di Mallard;Zaniolo;12
Rosa difficilmente migliorabile;Bernabè;16
Rosa difficilmente migliorabile;Bonazzoli;1
Rosa difficilmente migliorabile;Bremer;1
Rosa difficilmente migliorabile;Camarda;31
Rosa difficilmente migliorabile;Carlos Augusto;11
Rosa difficilmente migliorabile;Casadei;3
Rosa difficilmente migliorabile;Castellanos;175
Rosa difficilmente migliorabile;Castro S.;27
Rosa difficilmente migliorabile;Diao;70
Rosa difficilmente migliorabile;Dumfries;91
Rosa difficilmente migliorabile;Floriani Mussolini;1
Rosa difficilmente migliorabile;Gollini;1
Rosa difficilmente migliorabile;Hernani;26
Rosa difficilmente migliorabile;Hojlund;82
Rosa difficilmente migliorabile;Kristensen T.;21
Rosa difficilmente migliorabile;Maripan;1
Rosa difficilmente migliorabile;Modric;52
Rosa difficilmente migliorabile;Muric;1
Rosa difficilmente migliorabile;Neres;40
Rosa difficilmente migliorabile;Pellegrini Lo.;22
Rosa difficilmente migliorabile;Svilar;75
Rosa difficilmente migliorabile;Valeri;16
Rosa difficilmente migliorabile;Zalewski;5
Rosa difficilmente migliorabile;Zambo Anguissa;53
Rosa difficilmente migliorabile;Zortea;36
Serpico;Bastoni;56
Serpico;Calhanoglu;83
Serpico;Caracciolo A.;1
Serpico;Conceicao;90
Serpico;Darmian;2
Serpico;De Roon;3
Serpico;Di Gennaro;1
Serpico;Douvikas;3
Serpico;Esposito F.P.;1
Serpico;Gatti;12
Serpico;Holm;6
Serpico;Laurientè;50
Serpico;Locatelli;1
Serpico;Lookman;50
Serpico;Mancini;26
Serpico;Martinez Jo.;1
Serpico;Martinez L.;367
Serpico;Nkunku;34
Serpico;Olivera;10
Serpico;Ricci S.;14
Serpico;Sommer;75
Serpico;Spinazzola;1
Serpico;Stanciu;6
Serpico;Thorstvedt;1
Serpico;Vlasic;27
